Cusec,Cusec,Censo Total,Votos Totales,Votos Blancos,Votos Nulos,Votos Válidos,Primera fuerza,% PF,Segunda fuerza,% SF,Tercera fuerza,% TF,% PP,% PSOE,% MÁS MADRID,% Cs,% Podemos,% VOX,Izquierda,Derecha,Bloque Gana,PACMA,MÁS MADRID,PSOE,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,PP,PCTE,VOX,UPYD,PODEMOS-IU
2800703002,2800703002,807,494,6,3,491,PSOE,37.68,PP,20.98,Cs,14.87,20.98,37.68,12.42,14.87,4.68,7.13,54.78,42.98,Izquierda,4,61,185,1,0,73,0,0,0,0,103,0,35,0,23
2800703003,2800703003,664,426,3,2,424,PSOE,37.26,PP,22.17,Cs,14.62,22.17,37.26,12.03,14.62,7.31,4.72,56.6,41.51,Izquierda,4,51,158,0,0,62,0,0,0,0,94,1,20,0,31
2800703004,2800703004,881,572,3,1,571,PSOE,42.73,PP,15.24,Cs,14.54,15.24,42.73,11.21,14.54,8.76,5.43,62.7,35.21,Izquierda,6,64,244,0,0,83,1,0,0,0,87,1,31,1,50
2800703005,2800703005,1079,762,1,2,760,PSOE,40.13,PP,20.26,Cs,14.74,20.26,40.13,10.66,14.74,6.84,5.53,57.63,40.53,Izquierda,10,81,305,1,0,112,0,0,1,0,154,1,42,0,52
2800703006,2800703006,700,374,0,4,370,PSOE,41.08,PP,17.57,MÁS MADRID,11.89,17.57,41.08,11.89,11.08,9.73,7.03,62.7,35.68,Izquierda,2,44,152,0,0,41,2,0,0,0,65,2,26,0,36
2800703007,2800703007,693,429,1,2,427,PSOE,38.41,Cs,15.46,PP,14.99,14.99,38.41,13.82,15.46,11.71,5.39,63.94,35.84,Izquierda,0,59,164,0,0,66,0,0,0,0,64,0,23,0,50
2800703008,2800703008,625,378,2,2,376,PSOE,39.63,PP,16.22,MÁS MADRID,13.3,16.22,39.63,13.3,10.37,10.11,6.12,63.04,32.71,Izquierda,9,50,149,2,2,39,0,1,0,0,61,0,23,0,38
2800703009,2800703009,975,718,5,1,717,PSOE,31.1,PP,27.06,Cs,14.37,27.06,31.1,9.9,14.37,6.14,9.76,47.14,51.19,Derecha,4,71,223,0,0,103,1,0,0,1,194,0,70,1,44
2800703010,2800703010,941,587,2,4,583,PSOE,43.57,PP,17.32,MÁS MADRID,13.21,17.32,43.57,13.21,10.98,8.23,4.63,65.01,32.93,Izquierda,8,77,254,0,0,64,0,0,0,0,101,2,27,0,48
2800703011,2800703011,682,518,3,3,515,PSOE,34.37,PP,21.94,Cs,18.64,21.94,34.37,10.29,18.64,7.77,5.24,52.43,45.82,Izquierda,5,53,177,0,0,96,0,0,0,1,113,0,27,0,40
2800703012,2800703012,1405,1057,5,10,1047,PSOE,33.05,PP,21.3,Cs,16.71,21.3,33.05,11.27,16.71,8.69,7.26,53.01,45.27,Izquierda,6,118,346,0,0,175,1,2,1,0,223,0,76,3,91
2800703013,2800703013,1101,802,7,2,800,PSOE,27.38,PP,21.5,MÁS MADRID,16.25,21.5,27.38,16.25,14.88,11,6.75,54.63,43.13,Izquierda,8,130,219,0,0,119,0,0,0,0,172,2,54,1,88
2800703014,2800703014,1105,802,3,2,800,PSOE,28.63,PP,25.38,MÁS MADRID,16.63,25.38,28.63,16.63,14.13,7.5,6,52.76,45.51,Izquierda,9,133,229,0,0,113,2,0,0,0,203,0,48,0,60
2800703015,2800703015,1001,718,4,2,716,PSOE,28.63,PP,22.49,MÁS MADRID,14.66,22.49,28.63,14.66,14.25,7.68,10.75,50.97,47.49,Izquierda,4,105,205,0,0,102,0,0,1,0,161,0,77,2,55
2800703016,2800703016,961,717,7,6,711,PSOE,33.61,PP,19.69,Cs,16.17,19.69,33.61,14.06,16.17,6.75,7.88,54.42,43.74,Izquierda,3,100,239,1,0,115,1,0,0,1,140,0,56,0,48
