cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807405013;28074;Leganés;Madrid;44742;15827
2807405014;28074;Leganés;Madrid;41947;15256
2807405015;28074;Leganés;Madrid;44549;14394
2807405016;28074;Leganés;Madrid;36568;12422
2807405017;28074;Leganés;Madrid;36415;11914
2807405018;28074;Leganés;Madrid;35955;12555
2807405019;28074;Leganés;Madrid;41842;14256
2807405020;28074;Leganés;Madrid;32811;10880
2807406001;28074;Leganés;Madrid;24492;9278
2807406002;28074;Leganés;Madrid;24033;9484
2807406003;28074;Leganés;Madrid;31343;10843
2807406004;28074;Leganés;Madrid;22702;8350
2807406005;28074;Leganés;Madrid;21730;8103
2807406006;28074;Leganés;Madrid;22346;8339
2807406008;28074;Leganés;Madrid;22724;8594
2807406009;28074;Leganés;Madrid;;.
2807406010;28074;Leganés;Madrid;31286;12009
2807407001;28074;Leganés;Madrid;53985;18101
2807407002;28074;Leganés;Madrid;46052;15549
2807407003;28074;Leganés;Madrid;48932;15523
2807407004;28074;Leganés;Madrid;48964;14835
2807407005;28074;Leganés;Madrid;46938;15108
2807407006;28074;Leganés;Madrid;38080;12873
2807407007;28074;Leganés;Madrid;36991;11438
2807501001;28075;Loeches;Madrid;28536;10219
2807501002;28075;Loeches;Madrid;29643;11712
2807501003;28075;Loeches;Madrid;37342;11993
2807501004;28075;Loeches;Madrid;42227;12433
2807501005;28075;Loeches;Madrid;36514;12557
2807601001;28076;Lozoya;Madrid;27796;13182
2807801001;28078;Madarcos;Madrid;;.
2807901001;28079;Madrid;Madrid;58594;27785
2807901002;28079;Madrid;Madrid;32928;16464
2807901003;28079;Madrid;Madrid;36784;17664
2807901004;28079;Madrid;Madrid;60124;28737
2807901006;28079;Madrid;Madrid;40842;21149
2807901007;28079;Madrid;Madrid;40339;19845
2807901008;28079;Madrid;Madrid;40719;20387
2807901009;28079;Madrid;Madrid;39914;21192
2807901011;28079;Madrid;Madrid;37396;18846
2807901012;28079;Madrid;Madrid;35276;16566
2807901013;28079;Madrid;Madrid;26496;14058
2807901014;28079;Madrid;Madrid;35139;16955
2807901015;28079;Madrid;Madrid;35586;17981
2807901016;28079;Madrid;Madrid;39627;19565
2807901018;28079;Madrid;Madrid;35403;18342
2807901019;28079;Madrid;Madrid;37673;19991
2807901020;28079;Madrid;Madrid;34738;17115
2807901021;28079;Madrid;Madrid;37621;17877
2807901022;28079;Madrid;Madrid;32649;16394
2807901023;28079;Madrid;Madrid;27163;13633
2807901024;28079;Madrid;Madrid;29050;15371
2807901025;28079;Madrid;Madrid;40343;19456
2807901026;28079;Madrid;Madrid;46837;23575
2807901027;28079;Madrid;Madrid;38261;19131
2807901028;28079;Madrid;Madrid;32629;15683
2807901029;28079;Madrid;Madrid;29392;13544
2807901030;28079;Madrid;Madrid;26100;11896
2807901031;28079;Madrid;Madrid;24630;11930
2807901032;28079;Madrid;Madrid;32550;15129
2807901033;28079;Madrid;Madrid;26270;13125
2807901034;28079;Madrid;Madrid;21742;9726
2807901035;28079;Madrid;Madrid;26025;11627
2807901036;28079;Madrid;Madrid;25073;12815
2807901037;28079;Madrid;Madrid;29343;13702
2807901038;28079;Madrid;Madrid;24206;12166
2807901039;28079;Madrid;Madrid;27006;12676
2807901040;28079;Madrid;Madrid;27312;12896
2807901041;28079;Madrid;Madrid;29865;13688
2807901042;28079;Madrid;Madrid;28784;13205
2807901043;28079;Madrid;Madrid;24159;11465
2807901045;28079;Madrid;Madrid;30176;14326
2807901046;28079;Madrid;Madrid;30589;14780
2807901047;28079;Madrid;Madrid;26788;12329
2807901048;28079;Madrid;Madrid;26393;12066
2807901049;28079;Madrid;Madrid;22876;11699
2807901050;28079;Madrid;Madrid;25062;12440
2807901051;28079;Madrid;Madrid;23591;12337
2807901053;28079;Madrid;Madrid;28764;14990
2807901054;28079;Madrid;Madrid;25308;12682
2807901055;28079;Madrid;Madrid;33132;16869
2807901056;28079;Madrid;Madrid;36655;17612
2807901057;28079;Madrid;Madrid;36679;18633
2807901058;28079;Madrid;Madrid;37110;17300
2807901059;28079;Madrid;Madrid;33242;16932
