Cusec;CodMun;Municipio;Provincia;RM por persona 2017_custom;% ingresos salario
3605709011;36057;Vigo;Pontevedra;20422;46,15022283
0801904035;08019;Barcelona;Barcelona;20417;56,19395805
3727401011;37274;Salamanca;Salamanca;20413;38,28280853
5029704058;50297;Zaragoza;Zaragoza;20409;
5029711012;50297;Zaragoza;Zaragoza;20405;52,81254602
4805403008;48054;Leioa;Bizkaia;20404;
0801902085;08019;Barcelona;Barcelona;20400;55,90338587
2807908160;28079;Madrid;Madrid;20400;81,97353914
2812701003;28127;Rozas de Madrid, Las;Madrid;20400;56,88836556
4804401008;48044;Getxo;Bizkaia;20400;
1503001001;15030;Coruña, A;Coruña, A;20385;63,32465535
4802008016;48020;Bilbao;Bizkaia;20384;
2807905023;28079;Madrid;Madrid;20383;61,75943249
4109108052;41091;Sevilla;Sevilla;20380;42,9245283
4109101038;41091;Sevilla;Sevilla;20378;
3907504004;39075;Santander;Cantabria;20374;36,92541427
0820002013;08200;Sant Boi de Llobregat;Barcelona;20373;56,49392437
2807908184;28079;Madrid;Madrid;20371;81,44079513
4625006022;46250;València;Valencia/València;20370;43,53782013
5029704044;50297;Zaragoza;Zaragoza;20366;
3501604039;35016;Palmas de Gran Canaria, Las;Palmas, Las;20365;47,64478475
0301401005;03014;Alicante/Alacant;Alicante/Alacant;20364;32,64939452
0905902002;09059;Burgos;Burgos;20360;50,28379474
2811502016;28115;Pozuelo de Alarcón;Madrid;20359;65,70706308
2807904033;28079;Madrid;Madrid;20350;57,28402808
4802006029;48020;Bilbao;Bizkaia;20345;
4718609009;47186;Valladolid;Valladolid;20333;42,76385725
2807902106;28079;Madrid;Madrid;20330;78,37285828
5029702022;50297;Zaragoza;Zaragoza;20324;50,31034872
2006906014;20069;Donostia/San Sebastián;Gipuzkoa;20323;
2807904046;28079;Madrid;Madrid;20317;52,39910314
5100101004;51001;Ceuta;Ceuta;20308;69,86972071
2807909011;28079;Madrid;Madrid;20306;60,56332586
2807903032;28079;Madrid;Madrid;20304;55,33096927
0801902075;08019;Barcelona;Barcelona;20297;53,77506206
5029703082;50297;Zaragoza;Zaragoza;20290;
0827001003;08270;Sitges;Barcelona;20282;51,64372015
2807902111;28079;Madrid;Madrid;20281;78,19983169
4802002031;48020;Bilbao;Bizkaia;20272;
0801903113;08019;Barcelona;Barcelona;20269;51,02150126
2807908059;28079;Madrid;Madrid;20262;51,49481391
